hedge_fund,date,市值,加碼,減碼,XIRR
Masters Capital Management,2014-05-15,147195525.29000002,54385405.41,227367.9,-0.8691009272880155
Masters Capital Management,2014-08-14,190489000.0,0.0,31116028.39,0.16085598930229206
Masters Capital Management,2014-11-14,263951710.4,31922710.4,0.0,0.4346778032677584
Masters Capital Management,2015-02-17,367112335.2,14540207.200000001,19153864.3,0.875833424906027
Masters Capital Management,2015-05-15,469636323.46999997,107896030.4,18032854.9,0.700243826486403
Masters Capital Management,2015-08-14,211354799.93,21030220.0,19009871.25,-0.2871692463168652
Masters Capital Management,2015-11-16,234162369.47,52309756.19,1371012.15,-0.3198603456479065
Masters Capital Management,2016-02-16,273067817.64,40202587.75,5738209.1,-0.2507374148195447
Masters Capital Management,2016-05-16,227817966.0,52836209.4,11108025.32,-0.41770743555298895
Masters Capital Management,2016-08-12,188616045.79999995,6288293.55,50869302.99999999,-0.34050949744432024
Masters Capital Management,2016-11-14,310351698.64,36193486.94,22077178.5,-0.11528639965119537
Masters Capital Management,2017-02-14,407467961.12,1615089.0,55750207.12,0.07544870592737976
Masters Capital Management,2017-05-15,394400952.90000004,25853358.189999998,17611047.099999998,0.04826186304499789
Masters Capital Management,2017-08-14,298200903.86,614992.4,26138713.4,-0.022590958944608157
Masters Capital Management,2017-11-14,338620000.0,8659658.27,27220000.0,0.03119533281471837
Masters Capital Management,2018-02-14,380519750.0,7419000.0,11190500.0,0.06326421223707694
Masters Capital Management,2018-05-15,1082150924.4,8743500.0,8240075.6,0.37303694302489554
Masters Capital Management,2018-08-14,1003732964.35,43982471.400000006,34756999.5,0.3206942541811075
Masters Capital Management,2018-11-14,1195313100.6,341594680.65000004,30428370.55,0.26330250850985343
Masters Capital Management,2019-02-12,379700016.04,11780000.0,16195115.96,-0.2146007680300273
Masters Capital Management,2019-05-15,366235184.1,16534146.4,107016541.78999999,-0.11108891926261408
Masters Capital Management,2019-08-14,226834730.0,14736081.2,19217994.4,-0.2401074287552561
Masters Capital Management,2019-11-14,181970482.5,723000.0,15603527.5,-0.26036380467074816
Masters Capital Management,2020-02-14,187357212.82999998,18799148.93,17287604.1,-0.23725074938615728
Masters Capital Management,2020-05-15,196938500.88,26999756.6,12255974.799999999,-0.22844865921303842
Masters Capital Management,2020-08-14,189804314.45,16308450.0,16936000.0,-0.2215250083282054
Masters Capital Management,2020-11-16,187267000.0,17711632.17,11092000.0,-0.21841426455363913
Masters Capital Management,2021-02-16,243839687.18,607500.0,92597000.0,-0.08984235019573539
Masters Capital Management,2021-05-17,445309346.08,38370448.18,2953500.0,-0.009606087434913951
Masters Capital Management,2021-08-16,407770931.15999997,40398431.16,39291059.980000004,-0.023953090857114178
Masters Capital Management,2021-11-15,423070421.36,33506982.7,56373694.64,-0.00901937477452604
Masters Capital Management,2022-02-14,327237681.2,41424929.12,65611600.0,-0.03498706633908055
Masters Capital Management,2022-05-16,323525716.9,38949968.1,26444783.1,-0.04023706465818152
Masters Capital Management,2022-08-15,358205300.0,41333810.74,9930000.0,-0.03768573955210203
Masters Capital Management,2022-11-14,273692343.4,32194000.0,32882656.6,-0.07147824205110172
Masters Capital Management,2023-02-14,266345248.02,29229519.25,27548751.98,-0.07333435460691626
Masters Capital Management,2023-05-15,260549234.5,22563500.0,26692995.5,-0.07181269620879255
Masters Capital Management,2023-08-14,336703508.49,39142236.99,3460000.0,-0.05272700674708321
Masters Capital Management,2023-11-14,355874090.0,4314700.0,22816909.22,-0.037447564551052685
Fine Capital Partners,2014-02-14,655458305.07,0.0,0.0,0.1
Fine Capital Partners,2014-05-14,649296416.4599999,80754405.7,88289662.75999999,0.008620959277731845
Fine Capital Partners,2014-08-14,621889323.9399999,45896566.36,22091086.52,-0.14825878566349632
Fine Capital Partners,2014-11-14,675780660.9200001,77220581.77,9984621.0,-0.12614973144969144
Fine Capital Partners,2015-02-17,786430585.5999999,40658050.57000001,26627274.55,0.04884666083589083
Fine Capital Partners,2015-05-15,879150776.7499999,118365427.58,32248810.0,0.04611087315118092
Fine Capital Partners,2015-08-14,873187822.57,62807056.08,26255885.64,-0.0023069494417375792
